I
1130 Generated by WorldEditor 2.0.0r4

1    761 1 0 EDFZ Mainz-Finthen
1302 city Mainz
1302 country Germany
1302 datum_lat 49.9685
1302 datum_lon 8.148
1302 faa_code 
1302 iata_code 
1302 icao_code EDFZ
1302 region_code ED
1302 state Rhineland-Palatinate
1302 transition_alt 
1302 transition_level 
100 22.00 1 0 0.00 0 2 0 08  49.96797311  008.14115890    0    0 1 0 0 0 26  49.97033813  008.15448053    0    0 1 0 0 0
100 30.00 3 0 0.00 0 0 0 07  49.96597104  008.14244206    0    0 1 0 0 0 25  49.96793743  008.15537971    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 45
111  49.97108873  008.14466117
111  49.97096879  008.14474520
111  49.97099297  008.14482864
113  49.97111291  008.14474460
110 2 0.00 0.0000 New Taxiway 45
111  49.97084150  008.14378674
111  49.97072156  008.14387078
111  49.97074574  008.14395421
113  49.97086568  008.14387017
110 2 0.00 0.0000 New Taxiway 45
111  49.97058826  008.14292255
111  49.97046832  008.14300659
111  49.97049250  008.14309002
113  49.97061244  008.14300598
110 2 0.00 0.0000 New Taxiway 45
111  49.97009821  008.14118604
111  49.96997828  008.14127007
111  49.97000246  008.14135350
113  49.97012240  008.14126947
110 2 0.00 0.0000 New Taxiway 45
111  49.97034549  008.14205870
111  49.97022555  008.14214274
111  49.97024973  008.14222617
113  49.97036967  008.14214213
110 4 0.00 0.0000 New Taxiway 38
111  49.97599024  008.14536129
112  49.97593094  008.14534793  49.97591461  008.14533590
112  49.97588539  008.14532120  49.97587164  008.14531452
112  49.97583210  008.14531185  49.97581835  008.14532254
112  49.97580116  008.14533857  49.97577881  008.14535194
112  49.97576334  008.14535728  49.97575647  008.14535728
112  49.97573412  008.14535194  49.97572295  008.14533724
112  49.97571006  008.14528779  49.97570232  008.14526374
112  49.97568513  008.14525037  49.97567052  008.14525438
112  49.97566365  008.14527175  49.97566365  008.14531185
112  49.97568170  008.14538802  49.97568857  008.14541475
112  49.97570404  008.14549359  49.97571607  008.14552299
112  49.97575131  008.14559783  49.97576420  008.14561253
111  49.97584155  008.14567668
113  49.97585702  008.14567267
110 2 0.00 0.0000 New Taxiway 58
111  49.97264906  008.15031433
111  49.97237390  008.15046427
111  49.97253351  008.15117239
111  49.97265722  008.15110498
111  49.97267474  008.15118271
113  49.97282619  008.15110019
110 2 0.00 0.0000 New Taxiway 59
111  49.97230167  008.15128486
111  49.97233318  008.15142629
111  49.97243351  008.15137224
113  49.97240199  008.15123082
110 2 0.00 0.0000 New Taxiway 6
111  49.97465789  008.14843711
111  49.97458011  008.14834209
111  49.97428493  008.14892625
113  49.97436271  008.14902127
110 2 0.00 0.0000 New Taxiway 4
111  49.97466070  008.14570812
111  49.97436244  008.14629696
111  49.97443419  008.14638484
113  49.97473245  008.14579599
110 2 0.00 0.0000 New Taxiway 4
111  49.97426045  008.14653668
111  49.97396219  008.14712552
111  49.97403394  008.14721339
113  49.97433221  008.14662455
110 2 0.00 0.0000 New Taxiway 3
111  49.97425335  008.14748296
111  49.97478707  008.14813911
111  49.97484784  008.14801961
113  49.97431412  008.14736346
110 2 0.00 0.0000 New Taxiway 3
111  49.97445609  008.14705600
111  49.97498981  008.14771216
111  49.97505057  008.14759266
113  49.97451685  008.14693650
110 2 0.00 0.0000 New Taxiway 3
111  49.97466460  008.14661264
111  49.97519832  008.14726879
111  49.97525909  008.14714929
113  49.97472537  008.14649314
110 2 0.00 0.0000 New Taxiway 3
111  49.97488203  008.14616927
111  49.97541575  008.14682542
111  49.97547651  008.14670592
113  49.97494279  008.14604977
110 2 0.00 0.0000 New Taxiway 23
