I
1130 Generated by WorldEditor 2.0.0r4

1   1043 1 0 EDDN Albrecht Dürer Nuremberg
1302 city Nuremberg
1302 country Germany
1302 datum_lat 49.498700000
1302 datum_lon 11.078008333
1302 faa_code 
1302 iata_code NUE
1302 icao_code EDDN
1302 region_code ED
1302 state Bavaria
1302 transition_alt 5000
1302 transition_level 
100 45.00 1 1 0.25 1 3 0 10  49.50055100  011.05917000    0   32 3 1 0 1 28  49.49692500  011.09602500    0   33 3 2 1 1
110 1 0.25 40.0000 lib/airport/lines/safety_area_white.pol
111  49.49484801  011.07231486
111  49.49487175  011.07209079
112  49.49485667  011.07206812  49.49484837  011.07205519
113  49.49484182  011.07204100
110 2 0.25 0.0000 lib/airport/pavement/concrete_3D.pol
111  49.49919806  011.06993545
112  49.49911746  011.06998785  49.49907961  011.06999090
111  49.49911746  011.06998785
112  49.49911746  011.06998785  49.49900792  011.06999669
112  49.49894453  011.06997001  49.49887450  011.06995696
112  49.49874863  011.06997896  49.49869477  011.07001165
111  49.49852670  011.07011299
111  49.49780319  011.07055093
111  49.49788626  011.07088325
111  49.49823773  011.07065549
111  49.49830429  011.07061612
111  49.49860589  011.07042488
111  49.49873177  011.07034204
112  49.49899135  011.07030364  49.49908995  011.07035424
111  49.49899135  011.07030364
112  49.49899135  011.07030364  49.49906878  011.07034337
113  49.49913707  011.07048391
110 1 0.25 0.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49464599  011.07538815
111  49.49464837  011.07538910
111  49.49465219  011.07534762
111  49.49465457  011.07534810
111  49.49465314  011.07532521
111  49.49465267  011.07532473
111  49.49464742  011.07534667
113  49.49464981  011.07534714
110 1 0.25 0.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49462596  011.07531853
111  49.49462358  011.07531806
111  49.49461976  011.07535906
111  49.49461738  011.07535859
111  49.49461881  011.07538195
111  49.49461929  011.07538195
111  49.49462453  011.07536002
113  49.49462215  011.07535954
110 1 0.25 0.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49498550  011.07479734
111  49.49498503  011.07480116
111  49.49501221  011.07480688
111  49.49501173  011.07481022
111  49.49502651  011.07480831
111  49.49502651  011.07480783
111  49.49501268  011.07479973
113  49.49501221  011.07480306
110 1 0.25 0.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49503223  011.07476158
111  49.49503271  011.07475776
111  49.49500553  011.07475204
111  49.49500601  011.07474870
111  49.49499123  011.07475061
111  49.49499075  011.07475109
111  49.49500506  011.07475919
113  49.49500553  011.07475586
110 1 0.25 0.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49462120  011.08080987
111  49.49462120  011.08081226
111  49.49460546  011.08080844
111  49.49460546  011.08081035
111  49.49462120  011.08081369
111  49.49462072  011.08081655
111  49.49462358  011.08081702
113  49.49462406  011.08081035
110 1 0.25 0.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49379292  011.08071355
111  49.49379292  011.08071593
111  49.49377718  011.08071212
111  49.49377718  011.08071403
111  49.49379292  011.08071736
111  49.49379244  011.08071975
111  49.49379530  011.08072070
113  49.49379578  011.08071403
110 1 0.25 100.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49668069  011.07348268
111  49.49667592  011.07348173
111  49.49667449  011.07349508
113  49.49667973  011.07349603
110 1 0.25 100.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49672980  011.07301490
111  49.49672456  011.07301394
111  49.49672360  011.07302729
113  49.49672837  011.07302825
110 1 0.25 100.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49561637  011.07337968
111  49.49564260  011.07338588
111  49.49564355  011.07338064
111  49.49563306  011.07337778
111  49.49563449  011.07336347
111  49.49564450  011.07336585
111  49.49564546  011.07336013
111  49.49561875  011.07335441
111  49.49561828  011.07336013
111  49.49563020  011.07336252
111  49.49562877  011.07337682
113  49.49561685  011.07337444
110 1 0.25 100.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49653668  011.07344978
111  49.49653191  011.07344882
111  49.49653048  011.07346218
113  49.49653573  011.07346313
110 1 0.25 100.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49696584  011.07354324
111  49.49696059  011.07354229
111  49.49695964  011.07355564
113  49.49696488  011.07355659
110 1 0.25 100.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49658246  011.07298009
111  49.49657769  011.07297913
111  49.49657673  011.07299249
113  49.49658150  011.07299391
110 1 0.25 100.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49701495  011.07307879
111  49.49700971  011.07307784
111  49.49700876  011.07309119
113  49.49701352  011.07309215
110 1 0.25 100.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49588483  011.07343833
111  49.49591154  011.07344453
111  49.49591201  011.07343929
111  49.49590152  011.07343690
111  49.49590295  011.07342212
111  49.49591344  011.07342451
111  49.49591392  011.07341926
111  49.49588769  011.07341354
111  49.49588722  011.07341878
111  49.49589866  011.07342117
111  49.49589723  011.07343547
113  49.49588579  011.07343309
110 1 0.25 100.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49687142  011.07304732
111  49.49686618  011.07304637
111  49.49686523  011.07305972
113  49.49686999  011.07306067
110 1 0.25 100.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49682231  011.07351177
111  49.49681706  011.07351082
111  49.49681611  011.07352417
113  49.49682136  011.07352512
110 1 0.25 100.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49563210  011.07254330
111  49.49561160  011.07275835
111  49.49574989  011.07278840
113  49.49577039  011.07257525
111  49.49574559  011.07277886
111  49.49561828  011.07275120
111  49.49563687  011.07255331
113  49.49576467  011.07258192
110 1 0.25 100.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49567693  011.07267586
111  49.49570316  011.07268206
111  49.49570363  011.07267634
111  49.49569314  011.07267395
111  49.49569457  011.07265917
111  49.49570506  011.07266155
111  49.49570554  011.07265631
111  49.49567931  011.07265059
111  49.49567884  011.07265583
111  49.49569028  011.07265869
111  49.49568933  011.07267300
113  49.49567741  011.07267014
110 1 0.25 100.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49556535  011.07323186
111  49.49554198  011.07347267
111  49.49569839  011.07350700
113  49.49572175  011.07326524
111  49.49569457  011.07349842
111  49.49554675  011.07346599
111  49.49556916  011.07323997
113  49.49571555  011.07327144
110 1 0.25 100.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49584049  011.07330577
111  49.49581998  011.07352130
111  49.49595827  011.07355135
113  49.49597877  011.07333772
111  49.49595397  011.07354133
111  49.49582666  011.07351415
111  49.49584525  011.07331579
113  49.49597305  011.07334440
110 1 0.25 100.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49589246  011.07259241
111  49.49586910  011.07283322
111  49.49602550  011.07286803
113  49.49604887  011.07262627
111  49.49602169  011.07285945
111  49.49587387  011.07282654
111  49.49589628  011.07260052
113  49.49604267  011.07263199
110 1 0.25 100.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49594348  011.07274071
111  49.49596971  011.07274691
111  49.49597067  011.07274119
111  49.49596017  011.07273880
111  49.49596160  011.07272402
111  49.49597162  011.07272641
111  49.49597257  011.07272116
111  49.49594587  011.07271544
111  49.49594539  011.07272068
111  49.49595731  011.07272355
111  49.49595588  011.07273785
113  49.49594396  011.07273547
110 1 0.25 164.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49517433  011.07490702
111  49.49517004  011.07490892
111  49.49517719  011.07494898
113  49.49518149  011.07494707
110 1 0.25 164.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49516527  011.07491083
111  49.49516098  011.07491274
111  49.49516861  011.07495279
113  49.49517290  011.07495088
110 1 0.25 164.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49515669  011.07491464
111  49.49515240  011.07491655
111  49.49516003  011.07495661
113  49.49516432  011.07495470
110 1 0.25 164.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49514811  011.07491894
111  49.49514382  011.07492084
111  49.49515097  011.07496042
113  49.49515526  011.07495852
110 1 0.25 164.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49512188  011.07493038
111  49.49511759  011.07493229
111  49.49512474  011.07497234
113  49.49512951  011.07497044
110 1 0.25 164.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49511521  011.07494564
111  49.49511330  011.07496185
111  49.49511616  011.07497616
113  49.49512045  011.07497425
110 1 0.25 164.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49520056  011.07489557
111  49.49519627  011.07489748
111  49.49520342  011.07493706
113  49.49520819  011.07493515
110 1 0.25 164.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49513905  011.07492275
111  49.49513476  011.07492466
111  49.49514239  011.07496424
113  49.49514668  011.07496233
110 1 0.25 164.0000 lib/airport/pavement/asphalt_6L.pol
111  49.49522679  011.07488365
111  49.49522250  011.07488556
111  49.49522965  011.07492561
