I
1130 Generated by WorldEditor 2.0.0r4

1   1703 0 0 ETSF [X] Fürstenfeldbruck AB
1302 city Fürstenfeldbruck
1302 country Germany
1302 datum_lat 48.209444444
1302 datum_lon 11.267777778
1302 faa_code 
1302 iata_code FEL
1302 icao_code ETSF
1302 region_code ED
1302 state Bavaria
1302 transition_alt 
1302 transition_level 
100 17.00 1 0 0.00 0 0 0 09L  48.20838733  011.25269424    0    0 1 0 0 0 27R  48.20788288  011.26922888    0    0 1 0 0 0
100 46.02 1 0 0.25 0 0 0 09  48.20617929  011.24860772    0  287 2 0 0 0 27  48.20507050  011.28550423    0   85 2 0 0 0
110 1 0.00 280.0000 New Taxiway 17
111  48.20832634  011.27405826
111  48.20817149  011.27404740
111  48.20803546  011.27391928
111  48.20805572  011.27329824
111  48.20788350  011.27329389
111  48.20784999  011.27325416
111  48.20781738  011.27430973
111  48.20802722  011.27431952
111  48.20815557  011.27420158
113  48.20832199  011.27420375
110 1 0.00 0.0000 New Taxiway 16
111  48.20068768  011.27113090
111  48.20041849  011.27114244
111  48.20008125  011.27116676
111  48.20016648  011.27352109
113  48.20076654  011.27347107
110 1 0.00 0.0000 New Taxiway 15
111  48.20301251  011.27571880
111  48.20294885  011.27583010
111  48.20110049  011.27569469
111  48.20104956  011.27561634
111  48.20105482  011.27589482
113  48.20299500  011.27603407
110 1 0.00 0.0000 New Taxiway 14
111  48.20489981  011.28488488
111  48.20475813  011.28505924
111  48.20417550  011.28501147
111  48.20311197  011.28402149
111  48.20308490  011.28408837
111  48.20432222  011.28524688
113  48.20488256  011.28527842
110 1 0.00 0.0000 New Taxiway 13
111  48.20462558  011.24938516
111  48.20457653  011.25082471
111  48.20457017  011.25101818
111  48.20454151  011.25209299
111  48.20451463  011.25293513
111  48.20441220  011.25639293
111  48.20439247  011.25703249
111  48.20426961  011.26127714
111  48.20388809  011.26270555
111  48.20380437  011.26271273
111  48.20354962  011.26256379
111  48.20345394  011.26259609
111  48.20337022  011.26288859
111  48.20340131  011.26300882
111  48.20370151  011.26317929
111  48.20372902  011.26329414
111  48.20356339  011.26390058
111  48.20343459  011.26438043
111  48.20333980  011.26477396
111  48.20331572  011.26504733
111  48.20330697  011.26554125
111  48.20327720  011.26665257
111  48.20326494  011.26708344
111  48.20319989  011.26945817
111  48.20312753  011.26957325
111  48.20181816  011.26946917
