I
1130 Generated by WorldEditor 2.0.0r4

1    309 1 0 EDFM Mannheim City
1302 city Mannheim
1302 country Germany
1302 datum_lat 49.472705556
1302 datum_lon 8.514263889
1302 faa_code 
1302 iata_code MHG
1302 icao_code EDFM
1302 region_code ED
1302 state Baden-Württemberg
1302 transition_alt 5000
1302 transition_level 
100 24.99 1 0 0.00 0 3 0 09  49.47298878  008.50610100    0    0 3 0 0 1 27  49.47248522  008.52074007   55    0 3 9 0 1
100 29.87 3 0 0.00 0 0 0 09L  49.47354500  008.51054567   75    0 0 0 0 0 27R  49.47321655  008.52019030   25    0 0 0 0 0
110 1 0.00 18.4300 New Taxiway 1
112  49.47465167  008.52188666  49.47464481  008.52183168
111  49.47465167  008.52188666
111  49.47454668  008.52222264
112  49.47454668  008.52222264  49.47458704  008.52223595
112  49.47468075  008.52248113  49.47476716  008.52254324
111  49.47468075  008.52248113
111  49.47466858  008.52258506
111  49.47483366  008.52268459
111  49.47599317  008.52315125
111  49.47604708  008.52285156
111  49.47595018  008.52281208
111  49.47604896  008.52231991
111  49.47589406  008.52222563
112  49.47589406  008.52222563  49.47586727  008.52220536
111  49.47586772  008.52216031
111  49.47578028  008.52215690
111  49.47556788  008.52218481
111  49.47546133  008.52218376
112  49.47541167  008.52220538  49.47535880  008.52218373
111  49.47541167  008.52220538
113  49.47485810  008.52199124
111  49.47594874  008.52270455
111  49.47592953  008.52280301
111  49.47584965  008.52276813
111  49.47586714  008.52267166
112  49.47586714  008.52267166  49.47588065  008.52261942
111  49.47592907  008.52264760
113  49.47592169  008.52269253
110 2 0.00 92.5000 New Taxiway 7
111  49.47413719  008.52199254
111  49.47412554  008.52233732
111  49.47439831  008.52236207
113  49.47440876  008.52201426
110 2 0.00 92.5000 New Taxiway 6
111  49.47603894  008.52024847
111  49.47600401  008.52156350
111  49.47623164  008.52157596
111  49.47623838  008.52132095
111  49.47640929  008.52133332
111  49.47643512  008.52057536
111  49.47634580  008.52057343
111  49.47634994  008.52042634
111  49.47633328  008.52042549
111  49.47629722  008.52042364
111  49.47626182  008.52042183
113  49.47626652  008.52026121
110 1 0.00 92.5000 New Taxiway 5
111  49.47584075  008.51684741
111  49.47570113  008.51682726
111  49.47568065  008.51755513
111  49.47538498  008.51753050
111  49.47531160  008.51971349
111  49.47520676  008.51971183
111  49.47520782  008.51966308
111  49.47517614  008.51966308
111  49.47517336  008.52017253
111  49.47520820  008.52016928
111  49.47520715  008.52010753
112  49.47527544  008.52014135  49.47528674  008.52016572
111  49.47527544  008.52014135
112  49.47527544  008.52014135  49.47534022  008.52027159
111  49.47534233  008.52026183
112  49.47534233  008.52026183  49.47535776  008.52030904
112  49.47535622  008.52047881  49.47535052  008.52071054
111  49.47535622  008.52047881
111  49.47533086  008.52143987
111  49.47571969  008.52147656
112  49.47571969  008.52147656  49.47576638  008.52147881
111  49.47576104  008.52156085
111  49.47600411  008.52156435
111  49.47603894  008.52024847
111  49.47593200  008.52024000
112  49.47593200  008.52024000  49.47594880  008.52018469
111  49.47597909  008.52019033
111  49.47630248  008.52021011
111  49.47629722  008.52042364
111  49.47633328  008.52042549
111  49.47634083  008.52021245
111  49.47652145  008.52022350
112  49.47652145  008.52022350  49.47655856  008.52023382
111  49.47654887  008.52029607
111  49.47654475  008.52040043
111  49.47663280  008.52040035
111  49.47663845  008.52028572
112  49.47663845  008.52028572  49.47664527  008.52021866
111  49.47670042  008.52021514
111  49.47688171  008.52022055
112  49.47688171  008.52022055  49.47690744  008.52022136
112  49.47692207  008.52025802  49.47692417  008.52029195
111  49.47692207  008.52025802
111  49.47691398  008.52040095
111  49.47690589  008.52056731
111  49.47709995  008.52059699
111  49.47716520  008.52028416
111  49.47741487  008.52031231
111  49.47749857  008.51869404
111  49.47752922  008.51727304
111  49.47694430  008.51723535
111  49.47694020  008.51742445
112  49.47694020  008.51742445  49.47694020  008.51745315
112  49.47688767  008.51741622  49.47689018  008.51737980
111  49.47688767  008.51741622
111  49.47689074  008.51730671
111  49.47683574  008.51730157
111  49.47683322  008.51741497
111  49.47678083  008.51744572
111  49.47664452  008.51734301
112  49.47658527  008.51729818  49.47658664  008.51724324
111  49.47658527  008.51729818
111  49.47658672  008.51716467
111  49.47649235  008.51716019
111  49.47649306  008.51703902
111  49.47616340  008.51702620
113  49.47616747  008.51686813
111  49.47563162  008.52008637
111  49.47563138  008.51993918
111  49.47581333  008.51994930
112  49.47583304  008.51996926  49.47583333  008.51999024
111  49.47583304  008.51996926
111  49.47582629  008.52014871
112  49.47582629  008.52014871  49.47582480  008.52017653
112  49.47578968  008.52022861  49.47576315  008.52022750
111  49.47578968  008.52022861
111  49.47543342  008.52019151
112  49.47543342  008.52019151  49.47541451  008.52017671
111  49.47541228  008.52014742
113  49.47541282  008.52008263
111  49.47563575  008.51978885
111  49.47553572  008.51978081
111  49.47553718  008.51971729
111  49.47573796  008.51972348
111  49.47573795  008.51968202
112  49.47573795  008.51968202  49.47573762  008.51963988
111  49.47575064  008.51965761
111  49.47581722  008.51972576
112  49.47583899  008.51977355  49.47583850  008.51979692
111  49.47583899  008.51977355
111  49.47583645  008.51985911
112  49.47581566  008.51990458  49.47579462  008.51990230
111  49.47581566  008.51990458
113  49.47563345  008.51989327
112  49.47574616  008.51955378  49.47574485  008.51953572
111  49.47574616  008.51955378
111  49.47576941  008.51892617
112  49.47581791  008.51887191  49.47586173  008.51887875
111  49.47586116  008.51895964
111  49.47584164  008.51964470
112  49.47584164  008.51964470  49.47584189  008.51967677
111  49.47583423  008.51966600
113  49.47575674  008.51958237
111  49.47542666  008.51833427
112  49.47542666  008.51833427  49.47542815  008.51829323
111  49.47544917  008.51829618
